years,Surface temperature anomaly,,,,,,,,,,,,,,,,,,,,Surface temperature anomaly,Surface temperature anomaly,,
1970,0.02,,,,,,,,,,,,,,,,,,,,-0.56,1.21,,
1971,-0.56,,0.88,,,,,,,,,,,,,,,,,,-0.31,1.17,,1.77
1972,0.12,,,,,,,,,,,,,,,,,,,,-0.24,1.06,,
1973,0.14,,,,,,,,,,,,,,,,,,,,-0.22,0.9,,
1974,-0.02,,,,,,,,,,,,,,,,,,,,-0.09,0.87,,
1975,-0.31,,,,,,,,,,,,,,,,,,,,-0.07,0.83,,
1976,-0.04,,,,,,,,,,,,,,,,,,,,-0.04,0.76,,
1977,0.02,,,,,,,,,,,,,,,,,,,,-0.04,0.67,,
1978,-0.22,,,,,,,,,,,,,,,,,,,,-0.04,0.63,,
1979,0.22,,,,,,,,,,,,,,,,,,,,-0.03,0.61,,
1980,0.36,,,,,,,,,,,,,,,,,,,,-0.02,0.6,,
1981,-0.04,,,,,,,,,,,,,,,,,,,,-0.02,0.56,,
1982,-0.04,,,,,,,,,,,,,,,,,,,,0,0.56,,
1983,-0.24,,,,,,,,,,,,,,,,,,,,0.01,0.51,,
1984,-0.09,,,,,,,,,,,,,,,,,,,,0.02,0.51,,
1985,0.26,,,,,,,,,,,,,,,,,,,,0.02,0.5,,
1986,0,,,,,,,,,,,,,,,,,,,,0.12,0.5,,
1987,0.56,,,,,,,,,,,,,,,,,,,,0.12,0.49,,
1988,0.56,,,,,,,,,,,,,,,,,,,,0.14,0.48,,
1989,-0.03,,,,,,,,,,,,,,,,,,,,0.22,0.38,,
1990,-0.02,,,,,,,,,,,,,,,,,,,,0.24,0.37,,
1991,0.12,,,,,,,,,,,,,,,,,,,,0.26,0.36,,
1992,0.01,,,,,,,,,,,,,,,,,,,,0.28,0.36,,
1993,0.24,,,,,,,,,,,,,,,,,,,,0.3,0.36,,
1994,0.28,,,,,,,,,,,,,,,,,,,,0.36,0.3,,
1995,0.36,,,,,,,,,,,,,,,,,,,,0.36,0.28,,
1996,0.3,,,,,,,,,,,,,,,,,,,,0.36,0.26,,
1997,-0.07,,,,,,,,,,,,,,,,,,,,0.37,0.24,,
1998,0.67,,,,,,,,,,,,,,,,,,,,0.38,0.22,,
1999,0.51,,,,,,,,,,,,,,,,,,,,0.48,0.14,,
2000,0.38,,,,,,,,,,,,,,,,,,,,0.49,0.12,,
2001,0.51,,,,,,,,,,,,,,,,,,,,0.5,0.12,,
2002,0.83,,,,,,,,,,,,,,,,,,,,0.5,0.02,,
2003,0.63,,,,,,,,,,,,,,,,,,,,0.51,0.02,,
2004,0.61,,,,,,,,,,,,,,,,,,,,0.51,0.01,,
2005,0.49,,,,,,,,,,,,,,,,,,,,0.56,0,,
2006,0.76,,,,,,,,,,,,,,,,,,,,0.56,-0.02,,
2007,0.6,,,,,,,,,,,,,,,,,,,,0.6,-0.02,,
2008,0.36,,,,,,,,,,,,,,,,,,,,0.61,-0.03,,
2009,1.21,,,,,,,,,,,,,,,,,,,,0.63,-0.04,,
2010,1.17,,,,,,,,,,,,,,,,,,,,0.67,-0.04,,
2011,0.5,,,,,,,,,,,,,,,,,,,,0.76,-0.04,,
2012,0.48,,,,,,,,,,,,,,,,,,,,0.83,-0.07,,
2013,0.37,,,,,,,,,,,,,,,,,,,,0.87,-0.09,,
2014,0.5,,,,,,,,,,,,,,,,,,,,0.9,-0.22,,
2015,0.87,,,,,,,,,,,,,,,,,,,,1.06,-0.24,,
2016,1.06,,,,,,,,,,,,,,,,,,,,1.17,-0.31,,
2017,0.9,,,,,,,,,,,,,,,,,,,,1.21,-0.56,,
